Time [ms], Thrust [N]
600,  2621.4299075265853
601,  2629.4833330411034
602,  2637.306834335583
603,  2644.8421845168405
604,  2652.0531545781223
605,  2658.876221128579
606,  2665.294734441002
607,  2671.3344002910603
608,  2677.0031642465847
609,  2682.3266490687456
610,  2687.331223206688
611,  2692.049971190437
612,  2696.512081600425
613,  2700.7184548353175
614,  2704.65828160397
615,  2708.3236045114404
616,  2711.6919324490245
617,  2714.7206999272726
618,  2717.358195615377
619,  2719.569390763502
620,  2721.313855947134
621,  2722.5667967049912
622,  2723.2971784469332
623,  2723.484320798526
624,  2723.1190572196997
625,  2722.216077560239
626,  2720.7876867475884
627,  2718.8361659668353
628,  2716.395297904536
629,  2713.5351981311355
630,  2710.280513032694
631,  2706.6851799134247
632,  2702.834997962414
633,  2698.789842468869
634,  2694.6216278912943
635,  2690.3799570235155
636,  2686.0988739891095
637,  2681.8303948539865
638,  2677.574500534327
639,  2673.307312196734
640,  2668.987908356931
641,  2664.572493793531
642,  2659.997333549879
643,  2655.174869845074
644,  2650.067841879862
645,  2644.6466896826178
646,  2638.8835058893187
647,  2632.807205810227
648,  2626.4487945111905
649,  2619.9317429224607
650,  2613.314161696649
651,  2606.6812674705
652,  2600.1526625302854
653,  2593.795282708218
654,  2587.6596228778276
655,  2581.7255734795244
656,  2575.971362839136
657,  2570.3595786918645
658,  2564.7791666618014
659,  2559.1034581278086
660,  2553.221403450822
661,  2547.0591186330103
662,  2540.5431076483837
663,  2533.6127671174045
664,  2526.27429822283
665,  2518.5524887404167
666,  2510.565671559063
667,  2502.360402112826
668,  2494.046284343875
669,  2485.749962093597
670,  2477.5607383777306
671,  2469.519073146308
672,  2461.6405211558076
673,  2453.9263013902787
674,  2446.3194002158334
675,  2438.734620135521
676,  2431.043327765623
677,  2423.146699283584
678,  2415.0874386264695
679,  2406.858415651267
680,  2398.262375083551
681,  2389.2836587382208
682,  2379.918598721983
683,  2369.996710306561
684,  2359.3117273309426
685,  2347.758885212851
686,  2335.288766331554
687,  2321.8251691891555
688,  2307.2972692260273
689,  2291.897536531949
690,  2276.0697632148513
691,  2260.540828045693
692,  2246.1906570427163
693,  2234.2151070639375
694,  2226.1110821990997
695,  2223.2380842168677
696,  2226.756565214292
697,  2237.554103577974
698,  2256.0341434856928
699,  2281.844812840196
700,  2313.731584405282
701,  2349.7891085304846
702,  2387.469188676948
703,  2423.6292166611506
704,  2454.846924246271
705,  2477.830919735205
706,  2489.786875123208
707,  2488.6161325599887
708,  2473.086151012129
709,  2443.192665277549
710,  2400.219038948234
711,  2346.5313468442264
712,  2285.3336980749446
713,  2220.480422477127
714,  2156.194772264639
715,  2096.506109049229
716,  2044.8722775763508
717,  2003.9082249339397
718,  1975.2954036661488
720,  1959.5562215100385
721,  1955.8914407128098
722,  1962.662104628755
723,  1977.437979705268
724,  1997.2329041791456
725,  2018.9061251349374
726,  2039.5638281200886
727,  2056.743542964341
728,  2068.562867250702
729,  2073.9017218347635
730,  2072.390521875436
731,  2064.445858392989
732,  2051.275731485036
733,  2034.4370615898445
734,  2015.8327110948353
735,  1997.5049391977982
736,  1981.33113695424
737,  1968.7982879212673
738,  1960.9406806304348
739,  1958.2784021607977
740,  1960.8146312691133
741,  1967.977993402433
742,  1978.7714473339188
743,  1991.852476166295
744,  2005.7798318340217
745,  2019.0988676577542
746,  2030.409187300312
747,  2038.6408957824517
748,  2043.1429698729594
749,  2043.633301678982
750,  2040.1822968378458
751,  2033.290710888427
752,  2023.8695907001747
753,  2012.960247199659
754,  2001.6630481480718
755,  1991.0893686629008
756,  1982.2687983653857
757,  1975.9791790177906
758,  1972.6615287050622
759,  1972.4566629294984
760,  1975.2921951250637
761,  1980.8026944390379
762,  1988.3500269491424
763,  1997.1639000262142
764,  2006.5023343579312
765,  2015.6178572391177
766,  2023.83553416982
767,  2030.6088029690338
768,  2035.6397022350363
769,  2038.8607348992587
770,  2040.3199545924365
771,  2040.2458298811832
772,  2039.116450306721
773,  2037.3904671390885
774,  2035.6158997003313
775,  2034.3461183049822
776,  2034.0697107091778
777,  2035.093696070649
778,  2037.6168205586232
779,  2041.7431044449013
780,  2047.365288016694
781,  2054.218989501149
